Map05: The Citidal
5:80:50000:level5:2:7
48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:63:180:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:9:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:63:180:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,62:1:0:0:0,64:17:0:0:0,62:1:0:0:0,48:1:0:0:0,24:12:15:0:9,48:1:0:0:0,0:0:0:0:0,0:0:2:270:0,0:0:0:0:0,0:0:18:135:0,0:0:31:0:0,0:0:0:0:0,0:0:0:0:0,0:0:2:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:20:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:62:270:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,50:1:0:0:0,52:17:0:0:0,50:1:0:0:0,48:1:0:0:0,0:0:58:270:0,48:1:0:0:0,0:0:0:0:0,0:0:31:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:3:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:11:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,38:1:0:0:0,40:17:0:0:0,38:1:0:0:0,48:1:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:19:180:0,0:0:61:45:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:37:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:2:0:0,0:0:2:0:0,0:0:2:0:0,0:0:0:0:0,30:1:0:0:0,28:17:0:0:0,30:1:0:0:0,0:0:19:315:0,0:0:51:45:0,0:0:19:225:0,0:0:0:0:0,0:0:0:0:0,24:4:9:180:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:17:0:0:0,0:0:61:45:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:31:0:0,0:0:56:0:0,0:0:37:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:19:0:0,0:0:0:0:0,0:0:31:0:0,36:24:0:0:0,0:0:0:0:0,0:0:0:0:0,14:1:0:0:0,16:17:0:0:0,14:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,24:4:9:180:0,5:15:60:270:0,24:4:9:180:0,0:0:2:270:0,0:0:0:0:0,0:0:19:180:0,0:0:3:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:61:270:0,0:0:18:0:0,0:0:37:0:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,0:0:0:0:0,0:0:58:0:0,0:0:0:0:0,36:24:0:0:0,48:15:0:0:0,36:24:17:0:0,0:0:0:0:0,8:1:0:0:0,10:17:0:0:0,8:1:0:0:0,0:0:0:0:0,0:0:29:0:0,0:0:0:0:0,0:0:31:0:0,0:0:0:0:0,24:4:9:180:0,0:0:0:0:0,0:0:0:0:0,0:0:31:0:0,0:0:0:0:0,0:0:2:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:29:0:0,0:0:56:0:0,0:0:19:0:0,0:0:0:0:0,0:0:0:0:0,12:24:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,36:24:0:0:0,0:0:2:0:0,0:0:0:0:0,2:1:0:0:0,4:17:0:0:0,2:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:25:0:0,0:0:45:0:0,0:0:0:0:0,0:0:0:0:0,12:24:0:0:0,48:17:0:0:0,12:24:0:0:0,0:0:58:0:0,0:0:0:0:0,0:0:0:0:0,0:0:2:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,2:17:0:0:0,0:0:0:0:0,0:0:16:270:0,12:23:27:270:0,0:0:16:270:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:29:0:0,0:0:56:0:0,0:0:19:0:0,0:0:0:0:0,0:0:0:0:0,12:24:0:0:0,0:0:0:0:0,0:0:19:0:0,0:0:0:0:0,24:18:0:0:0,24:18:0:0:0,24:18:0:0:0,24:18:0:0:0,0:0:62:270:0,0:0:0:0:0,0:0:58:270:0,0:0:0:0:0,0:0:45:270:0,8:23:0:0:0,0:0:58:270:0,0:0:0:0:0,0:0:2:270:0,0:0:0:0:0,0:0:57:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:61:270:0,0:0:18:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,0:0:0:0:0,0:0:58:0:0,0:0:31:0:0,0:0:37:270:0,0:0:37:270:0,0:0:37:270:0,24:18:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:31:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:31:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:42:0:0,0:0:56:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:19:0:0,0:0:0:0:0,24:18:0:0:0,24:18:0:0:0,0:0:37:270:0,24:18:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,4:23:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:43:0:0,0:0:0:0:0,0:0:0:0:0,0:0:31:0:0,0:0:0:0:0,0:0:21:270:0,0:0:0:0:0,0:0:58:0:0,0:0:0:0:0,24:18:0:0:0,0:0:50:270:0,0:0:17:315:0,24:18:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:31:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,24:18:0:0:0,24:18:0:0:0,24:18:0:0:0,24:18:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,0:0:0:0:0,0:0:29:0:0,0:0:0:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:19:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:57:0:0,0:0:37:0:0,0:0:31:0:0,0:0:36:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:16:0:0:0,0:16:22:0:0,48:16:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:16:0:0:0,0:16:22:0:0,48:16:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:16:0:0:0,0:16:22:0:0,48:16:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:16:0:0:0,0:16:22:0:0,48:16:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:16:0:0:0,0:16:22:0:0,48:16:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:16:0:0:0,0:16:0:0:0,48:16:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:16:0:0:0,0:16:48:180:10,48:16:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:16:0:0:0,0:16:0:0:0,48:16:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:16:0:0:0,0:16:22:0:0,48:16:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:17:0:0:0,0:17:23:0:0,48:17:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:17:0:0:0,0:17:23:0:0,48:17:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:17:0:0:0,0:17:23:0:0,48:17:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:17:0:0:0,0:17:23:0:0,48:17:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:17:0:0:0,0:17:23:0:0,48:17:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:17:0:0:0,0:17:23:0:0,48:17:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:54:270:10,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
