Map08: The Dark Warehouse
8:80:5000:level8:2:6
24:1:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:1:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:19:270:0,12:21:0:0:0,0:0:56:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:61:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,36:22:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,0:0:37:0:0,0:0:37:0:0,0:0:37:0:0,0:0:37:0:0,6:21:0:0:0,10:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:19:45:0,0:0:36:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,12:21:0:0:0,0:0:2:0:0,0:0:0:0:0,10:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:18:225:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:19:270:0,0:0:0:0:0,0:0:0:0:0,18:21:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:36:0:0,0:0:36:0:0,0:0:36:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:50:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:36:0:0,0:0:36:0:0,12:21:0:0:0,0:0:0:0:0,0:0:61:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:19:180:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:56:0:0,12:21:0:0:0,0:0:61:0:0,0:0:2:0:0,10:21:0:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:9:12:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,36:1:0:0:0,0:0:43:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:43:0:0,36:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,36:1:0:0:0,0:0:36:0:0,36:18:0:0:0,24:25:0:0:0,36:18:0:0:0,0:0:36:0:0,36:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,36:1:0:0:0,0:0:19:315:0,0:0:32:0:0,0:0:17:270:0,0:0:0:0:0,0:0:17:270:0,0:0:32:0:0,0:0:19:225:0,36:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,36:1:0:0:0,0:0:36:0:0,0:0:0:0:0,12:23:0:0:0,0:0:2:0:0,12:23:0:0:0,0:0:0:0:0,0:0:36:0:0,36:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,36:1:0:0:0,0:0:0:0:0,0:0:2:180:0,12:1:0:0:0,0:0:2:180:0,0:0:0:0:0,36:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,36:1:0:0:0,0:0:3:0:0,12:1:0:0:0,0:0:16:90:0,12:1:0:0:0,0:0:50:0:0,36:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,36:15:0:0:0,0:0:31:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:31:0:0,36:15:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,36:13:0:0:0,0:0:0:0:0,12:21:0:0:0,12:21:0:0:0,12:21:0:0:0,0:0:0:0:0,36:13:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,36:22:0:0:0,0:0:0:0:0,12:21:0:0:0,18:21:0:0:0,12:21:0:0:0,0:0:0:0:0,36:22:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,36:22:0:0:0,0:0:19:270:0,0:0:0:0:0,0:0:16:90:0,0:0:0:0:0,0:0:19:270:0,36:22:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,36:22:0:0:0,0:0:30:0:0,0:0:5:0:0,0:0:30:0:0,36:22:0:0:0,36:22:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,36:22:0:0:0,36:22:11:0:0,36:22:0:0:0,18:14:0:0:0,18:14:0:0:0,18:14:0:0:0,18:14:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,18:14:0:0:0,0:0:20:0:0,18:14:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,18:14:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,18:14:0:0:0,0:0:0:0:0,18:14:0:0:0,0:0:19:270:0,18:14:0:0:0,0:0:0:0:0,18:14:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,18:14:0:0:0,0:0:0:0:0,18:14:0:0:0,0:0:24:0:0,18:14:0:0:0,0:0:0:0:0,18:14:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,18:14:0:0:0,0:0:0:0:0,18:14:0:0:0,18:14:0:0:0,18:14:0:0:0,0:0:0:0:0,18:14:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,18:14:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,18:14:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,18:14:0:0:0,18:14:0:0:0,18:14:0:0:0,18:14:0:0:0,18:14:0:0:0,18:14:0:0:0,18:14:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
